기관,대분류 테마,중분류 테마,해당 문장 발췌,,,,,,,,,,,,,,,,,,,,,,
KRISO,4. 국제협력의 주요 애로사항 및 장애물,행정·제도적 한계,관리 체계 전산 체계만 통합되잖아요. 아이리스로 그러니까 해결돼야 될 건 해결이 하나도 안 되고 시스템 통합하면서 되게 어려워지고 관리는 어려워지고 뭐 하나 수정하려고 해도 소속 전문 기관 담당 PM이나 PD가 전혀 권한이 없고 이런 어려움들이 있죠.,,,,,,,,,,,,,,,,,,,,,,
KRISO,4. 국제협력의 주요 애로사항 및 장애물,연구자 차원의 어려움,아마 앞으로도 힘들 것 같아요. 왜냐하면 너무 전문적인 분야고 이걸 이제 위원회를 열어서 각 분야의 전문가들이 와서 열어보기 전까지는 작년까지 우리 다 학회에서 발표하고 아무 문제없는 자료인데요라고 했는데도 불구하고 위원회를 열어서 와서 보면 이제 문제라고 하면 이제 죄가 될 수 있는 상황이 되다 보니까.,,,,,,,,,,,,,,,,,,,,,,
KRISO,4. 국제협력의 주요 애로사항 및 장애물,연구자 차원의 어려움,실제로 저희 연구소에 계신 분이 연구소 기업 잠깐 나가셨다가 거기서 군 과제하면서 메일로 뭘 주고받으셨어요? 근데 누가 봐도 그냥 별거 아닌 카테아 파일이었는데 이제 카이테 파일 자체가 이제 속성 정보가 들어가다 보니까 거기에 이제 군 장비의 어떤 재원이나 이런 게 일부 들어가 있었나 봐요.,,,,,,,,,,,,,,,,,,,,,,
KRISO,4. 국제협력의 주요 애로사항 및 장애물,연구자 차원의 어려움,5년 형 받으셨어요? 되게 되게 어렵습니다. 실형이요 예.,,,,,,,,,,,,,,,,,,,,,,
KRISO,4. 국제협력의 주요 애로사항 및 장애물,연구자 차원의 어려움,최종적으로 징역 3년에 집행유예 5년 받으셨어요.,,,,,,,,,,,,,,,,,,,,,,
KRISO,4. 국제협력의 주요 애로사항 및 장애물,연구자 차원의 어려움,저희가 이제 5년 형이라고 제가 얘기하는데 그게 이제 한 사람 인생이 막 흔들리는 상황이 될까요?,,,,,,,,,,,,,,,,,,,,,,
KRISO,5. 정책 제언 및 발전 방향,장기적·안정적 정책 추진,해당 없음,,,,,,,,,,,,,,,,,,,,,,
KRISO,5. 정책 제언 및 발전 방향,범부처 컨트롤타워 구축,이걸 하려면 싱가포르처럼 사실은 조선 해운 산업 자체가 한 꼭지로 움직인다거나 아니면 의사결정 체계가 한 부처 내에서 한 부서 내에서 다 되면 문제가 없을 텐데 지금은 그렇지 않다 보니까요.,,,,,,,,,,,,,,,,,,,,,,
KRISO,5. 정책 제언 및 발전 방향,범부처 컨트롤타워 구축,그래서 탄중일 위원장이 국무회의에 참여한다 국무위원이다 이렇게 되면 그거는 완전 달라지는 거거든요.,,,,,,,,,,,,,,,,,,,,,,
KRISO,5. 정책 제언 및 발전 방향,범부처 컨트롤타워 구축,상위 레벨에서는 교통 정리해 주고 그래서 거기서 뭘 하면 그게 각 부처에 도움이 된다.,,,,,,,,,,,,,,,,,,,,,,
KRISO,5. 정책 제언 및 발전 방향,범부처 컨트롤타워 구축,그래서 그 부처에서 실무하는 사람들이 승진도 하고 부처 내에서도 인정받고 못된다 이렇게 되지 않으면.,,,,,,,,,,,,,,,,,,,,,,
KRISO,5. 정책 제언 및 발전 방향,연구 현장 중심의 지원 강화,그전에 거기까지 못 가더라도 그전에 어떤 위원회나 아니면은 포럼이 됐든 위원회가 됐든 거기서 뭘 진행이 되면 사실은 그게 그 공이 담당 부처가 기여한 걸로 해서 그 부처의 실무자나 그걸 제안한 사람이 부처로 이제 상이 가는 구조가 돼야 좀 협력이 되고 뭘 할 텐데.,,,,,,,,,,,,,,,,,,,,,,
KRISO,5. 정책 제언 및 발전 방향,연구 현장 중심의 지원 강화,이런 문제들을 좀 해결해 주지 않으면 어렵지 않을까라는 생각이 계속 듭니다.,,,,,,,,,,,,,,,,,,,,,,
KRISO,5. 정책 제언 및 발전 방향,전략적 파트너십 및 분야 선택,해당 없음,,,,,,,,,,,,,,,,,,,,,,
KRISO,5. 정책 제언 및 발전 방향,정보 공유 플랫폼 구축,해당 없음,,,,,,,,,,,,,,,,,,,,,,
KRISO,기타,기관 일반 현황 및 운영,일단 저희 연구소는 서울에 있는 키스트에서 분리돼서 대덕연구단지 만들면서 431호로 제일 먼저 내려왔고요.,,,,,,,,,,,,,,,,,,,,,,
KRISO,기타,기관 일반 현황 및 운영,물론 이 부분에 대해서는 표준 연구원이나 분쟁은 있습니다.,,,,,,,,,,,,,,,,,,,,,,
KRISO,기타,기관 일반 현황 및 운영,표주형 완전 차이인데 그 일단 어쨌든 저희가 산사업 1호이기 때문에 저희가 이제 제일 먼저 내려왔다고 주장을 하고 있고,,,,,,,,,,,,,,,,,,,,,,
KRISO,기타,기관 일반 현황 및 운영,저는 메가 트렌드라는 관점에서 보면 조선 해운 산업은 디지털 라이제이션하고 디카보나이제이션이 한 파트가 있는데 저는 그쪽에 디카보나이제이션 탈탄소화 쪽 업무를 맡고 있고,,,,,,,,,,,,,,,,,,,,,,
KRISO,기타,기관 일반 현황 및 운영,저희 본부는 약 108명 정도 되는 연구진들이 강원도 고성 추천선 바로 밑에 센터에서 해수 온도차 발전이라든가 이런 연구 팀이 그룹이 있고요.,,,,,,,,,,,,,,,,,,,,,,
KRISO,기타,기관 일반 현황 및 운영,거제 센터에서 조선소를 직접 지원하는 그룹이 있고,,,,,,,,,,,,,,,,,,,,,,
KRISO,기타,기관 일반 현황 및 운영,부산 심해공학 수조에서 이따 가보실 해양공학 수저 파도를 만들어서 배가 이제 안정적으로 운영할 수 있는지 테스트할 수 있는지,,,,,,,,,,,,,,,,,,,,,,
KRISO,기타,기관 일반 현황 및 운영,그리고 이제 목포에 친환경 선박과에 특화된 걸 지금 만들고 있고요.,,,,,,,,,,,,,,,,,,,,,,
KRISO,기타,기관 일반 현황 및 운영,저희 본부가 108명 정도 되고요. 본부가 108명 연구소는 정규직 비정규직 다 합치면 한 420명 정도 되고 정규직만 놓고 보면 3한 50명 되거나 그럴 겁니다.,,,,,,,,,,,,,,,,,,,,,,
KRISO,기타,기관 일반 현황 및 운영,저희는 저희 조선 산업 자체가 이제 워낙 이제 정부하고 따로 가기도 했었고 해서 저희가 PBS 할 때 정부 출연금 비중이 10%도 채안될 때가 있었어요.,,,,,,,,,,,,,,,,,,,,,,
KRISO,기타,기관 일반 현황 및 운영,최근에 많이 늘어나서 이제 해수부 가고 나서 많이 늘어나가지고 이제 80%가 넘어가고 있는 상황인데 주로 이제 조선소에서 하는 수탁 사업을 많이 하고요.,,,,,,,,,,,,,,,,,,,,,,
KRISO,기타,기관 일반 현황 및 운영,기자재 업체들이나 그런 쪽하고도 많이 진행을 하고요.,,,,,,,,,,,,,,,,,,,,,,
KRISO,기타,기관 일반 현황 및 운영,기업하고 협력하는 비중이 60% 가까이 된다고 보시면 돼요.,,,,,,,,,,,,,,,,,,,,,,
KRISO,기타,기관 일반 현황 및 운영,필리는 지금 하나만 놓고 보면 하나 모션에서 인수를 했다고 하는데 사실 하나 파워 시스템이라는 자회사가 또 있고요.,,,,,,,,,,,,,,,,,,,,,,
KRISO,기타,기관 일반 현황 및 운영,일단은 야드를 활용하는 것 자체가 우리랑 좀 개념이 많이 달라서 우리는 이제 도크 하나가 있으면 예전에 수영 수조 도크라고 하는 수영장 같은 구조 하나에 배를 한 척 만들고 배를 다 만들면 물을 채워서 배를 띄워서 내보냈거든요.,,,,,,,,,,,,,,,,,,,,,,
KRISO,기타,기관 일반 현황 및 운영,지금 국내 조선소는 그렇게 안 해요. 도크 하나 있으면 큰 배 하나 만들고 자투리 공간마다 다 블록 만들고 다른 배 앞부분 뒷부분 만들어 가지고 필요에 따라서 물 집어넣고 하나 완성되면 빼고 다음에 나머지 거 다시 계속 만들고 하는 식으로 도크 회전율이 엄청 높거든요.,,,,,,,,,,,,,,,,,,,,,,
KRISO,기타,기관 일반 현황 및 운영,그 회전율이 필리 같은 경우만 해도 그렇게 안 하고 오랫동안 방산이나 미국의 상업 조선이 죽었기 때문에 방산은 대한화를 그냥 처음부터 천천히 만들고 천천히 만들고 물 쳐서 뭐 하고 생산성이 안 나왔는데,,,,,,,,,,,,,,,,,,,,,,
KRISO,기타,기관 일반 현황 및 운영,한국식으로 도크 운영을 하고,,,,,,,,,,,,,,,,,,,,,,
KRISO,기타,기관 일반 현황 및 운영,최단 기간 내에 그렇게 생산성을 좀 올리려고 한다.,,,,,,,,,,,,,,,,,,,,,,
KRISO,기타,기관 일반 현황 및 운영,공급망 구성 통해서 결국은 그러면 이제 조선 기자재 업체들이 들어와야 될 텐데 일단은 미국 내 회사들을 활용하겠지만 부품에 부품을 공급하든 서플라이 체인에 국내 기업들이 들어갈 수 있는 길이 열릴 거다 이렇게 보는 것들이 있고요.,,,,,,,,,,,,,,,,,,,,,,
KRISO,기타,기관 일반 현황 및 운영,저희가 변호사 한 분이 계신데 그 변호사님은 국제사회 협력센터 소속은 아니고,,,,,,,,,,,,,,,,,,,,,,
KRISO,기타,연구자 개인의 경험 및 역할,박사님은 가시는 데 중에 제일 괜찮은 데 데,,,,,,,,,,,,,,,,,,,,,,
KRISO,기타,연구자 개인의 경험 및 역할,저는 이집트 갔다 왔어요.,,,,,,,,,,,,,,,,,,,,,,
KRISO,기타,연구자 개인의 경험 및 역할,COP 29 그때 올 때 너무 고생을 해가지고요.,,,,,,,,,,,,,,,,,,,,,,
KRIBB,1. 국제협력의 동인 및 목표,기술 확보 및 R&D 역량 강화,저희가 확보한 소재에 대해서는 저희가 아주 기초적인 활성 연구 스크리닝은 다 해서 그 데이터들은 저희 협력 파트너들하고 같이 공유를 하고 있고요.,,,,,,,,,,,,,,,,,,,,,,
KRIBB,1. 국제협력의 동인 및 목표,기술 확보 및 R&D 역량 강화,"저희 쪽에서 연구하는 경우가 대부분이죠. 그쪽에서도 안 돼서 파도 안 되는 capa 가 안 되는 게 일단 1차적이고, 어쨌든 앞에 말씀드린 게 개도국이라고 해서 과학기술력이 아예 없다고는 볼 수는 없지만 어쨌든 제품 개발이라든지 산업화 연구를 하는 데 있어가지고는 저희 쪽이 훨씬 프로세스가 빠르고 수준이 높다 보니 이제 연구 부분에서는 저희가 거의 메인이 되고",,,,,,,,,,,,,,,,,,,,,,
KRIBB,1. 국제협력의 동인 및 목표,자원 확보 및 접근성,"기본적으로 국내에 천연물 자원들이 많지 않기 때문에 해외에 있는 자원들을 저희가, 국내 산업계에서 의존하는, 해외 자원 의존율이 한 70% 정도 되고 있습니다.",,,,,,,,,,,,,,,,,,,,,,
KRIBB,1. 국제협력의 동인 및 목표,자원 확보 및 접근성,"나고야 의정서가 발효가 되면 자원이 많은 국가들이 자기 자원에 대한, 자국 자원에 대한 보호주의 장벽이 점점 높아질 거라는 예상 하에, 가능한 한 많은 자원들을 나고야 의정서가 발효되기 전에 빨리 모아 두자라는 차원이 첫번째였고요.",,,,,,,,,,,,,,,,,,,,,,
KRIBB,1. 국제협력의 동인 및 목표,자원 확보 및 접근성,국제 협력 쪽으로 보자면 아무튼 저희는 자원은 많고 상대적으로 경제력이나 기술력이 조금 떨어지는 국가들하고 협약을 해서 그쪽 자원을 가지고 와서 같이 공동으로 연구를 하고,,,,,,,,,,,,,,,,,,,,,,
KRIBB,1. 국제협력의 동인 및 목표,글로벌 공동 문제 해결,"기관 국제 협력이 조금 바뀐 거는 국가 전략 기술 선정 이후, 그 전후가 좀 바뀌었다고 저는 생각을 합니다.",,,,,,,,,,,,,,,,,,,,,,
KRIBB,1. 국제협력의 동인 및 목표,글로벌 공동 문제 해결,"저희 기관에서는 그래서 국가 전략 기술, 바이오 분야 크게 네 가지인데요. 이제 감염병 백신 치료제 개발, 그리고 유전자 세포 치료제 개발, 그리고 합성 생물학, 그리고 바이오 빅데이터, 디지털 바이오 이 4개 분야가 이제 핵심 분야인데 저희도 국제 협력을 거기에 좀 선택과 집중을 해서 연구단을 꾸린다든지 조직을 개편한다든지",,,,,,,,,,,,,,,,,,,,,,
KRIBB,1. 국제협력의 동인 및 목표,국제 표준 선도 및 규범 형성,"거기다가 2010년도에 나고야 프로토콜이라는, ABS 라는 국제 규제가 대두된다. 그게 시행될 거라는 이야기들이 있었기 때문에, 저희는 좀 발빠르게, 나고야 증서가 실질적으로 발효하고 인준되려면 시간이 좀 걸릴 테니 그전에 많은 국제 협력 네트워크도 만들고 가능한 한 빠른 시간 내에 자원을 많이 확보해 두자라는 차원에서 2006 년부터 사업이 시작이 되었고요.",,,,,,,,,,,,,,,,,,,,,,
KRIBB,1. 국제협력의 동인 및 목표,국제 표준 선도 및 규범 형성,일단은 이제 나고야 의정서라는 ABS 가 발효가 되고 비준이 됨으로써 일단은 어떤 형태든 심지어는 연구 목적의 생명 연구 자원들이 이제 국가와 국가 간에 이동을 할 때도 정부의 허가를 받아야 되는 상황이거든요.,,,,,,,,,,,,,,,,,,,,,,
KRIBB,1. 국제협력의 동인 및 목표,해외 시장 진출 및 기술 사업화,"외에 저희가 산업화를 위한 연구들도 많이 진행을 하고 있는데,",,,,,,,,,,,,,,,,,,,,,,
KRIBB,1. 국제협력의 동인 및 목표,해외 시장 진출 및 기술 사업화,"소재가 단순한 스크리닝 연구에서 그칠 경우면 모르겠지만 이제 활성이 좋아서 산업화까지는 아니지만 논문을 넘어서 특허나 그 이상까지 가겠다라고 하면, 이제 in-vitro 가 아닌 in-vivo 그리고 그 이상 독성, 전임상, 비임상까지 가려면 대량의 소재가 필요하거든요.",,,,,,,,,,,,,,,,,,,,,,
KRIBB,1. 국제협력의 동인 및 목표,과학기술 외교 및 국가 위상 제고,"코스타리카 같은 경우는 사실은 지금은 협력 기관이 바뀌긴 했는데 그 이전의 협력 기관에 저기 뭐라고 할까요? 큰 연구원이 있으면 거기 그쪽에 annex 같은 부속 건물을 통째로 지어줬어요, KOICA 에서.",,,,,,,,,,,,,,,,,,,,,,
KRIBB,1. 국제협력의 동인 및 목표,과학기술 외교 및 국가 위상 제고,"그 외의 국가들은 조금 작은 국가들, 아프리카 국가나 동티모르나 좀 이제 아주 작은 국가들은 가면 그 공관에서 되게 관심을 가져주세요.",,,,,,,,,,,,,,,,,,,,,,
KRIBB,1. 국제협력의 동인 및 목표,과학기술 외교 및 국가 위상 제고,저는 말씀하신 대로 그런 약간 좀 top-down 그런 것도 가끔은 활용하는 게 좋다고 생각합니다. 왜냐면은 나라 간의 약속이니까 명분도 생기거든요.,,,,,,,,,,,,,,,,,,,,,,
KRIBB,2. 국제협력의 유형 및 방식,공동 연구,"물론 선진국하고도 공동 연구나 교류 같은 경우, 일부 미국 NIH 나 호주 Griffith 대학이나 그런 국가들하고도 교류가 있지만,",,,,,,,,,,,,,,,,,,,,,,
KRIBB,2. 국제협력의 유형 및 방식,공동 연구,"저희가 협력이라고 하면 국가와 국가 간에, 주로 정부 출연기관이라든지 국립대학교라든지 저희가 같이 할 수 있는 전문가들을 먼저 컨텍을 해서 그 분들하고 저희랑 공동 연구를 할 의향이 있는지를 다 타진을 한 다음에 국제 공동연구 협약서를 체결을 합니다.",,,,,,,,,,,,,,,,,,,,,,
KRIBB,2. 국제협력의 유형 및 방식,공동 연구,국제 공동 연구에 들어가는 비용이 과제로 봤을 때 순수하게는 한 10억원 정도라고 보시면 돼요.,,,,,,,,,,,,,,,,,,,,,,
KRIBB,2. 국제협력의 유형 및 방식,ODA (공적개발원조),ODA를 저희가 몇 번 시도를 했는데 ODA 사업으로 해서 진행된 건 아니고요.,,,,,,,,,,,,,,,,,,,,,,
KRIBB,2. 국제협력의 유형 및 방식,ODA (공적개발원조),"심지어 몇 군데, 한 두 번 정도는 KOICA 에서 저희한테 먼저 요청이 온 적이 있었어요.",,,,,,,,,,,,,,,,,,,,,,
KRIBB,2. 국제협력의 유형 및 방식,ODA (공적개발원조),"큰 연구원이 있으면 거기 그쪽에 annex 같은 부속 건물을 통째로 지어줬어요, KOICA 에서.",,,,,,,,,,,,,,,,,,,,,,
KRIBB,2. 국제협력의 유형 및 방식,국제기구/다자협의체 활동,일단은 이제 나고야 의정서라는 ABS 가 발효가 되고 비준이 됨으로써 일단은 어떤 형태든 심지어는 연구 목적의 생명 연구 자원들이 이제 국가와 국가 간에 이동을 할 때도 정부의 허가를 받아야 되는 상황이거든요.,,,,,,,,,,,,,,,,,,,,,,
KRIBB,2. 국제협력의 유형 및 방식,인프라 활용 및 공유,국내에 있는 연구자들이 아마존이든 아프리카든 전 해외에 있는 어떤 식물 자원에 대한 연구를 하고 싶다라고 하면 온라인으로 분양을 해서 저희가 보내드리는 그런 국가 인프라 시스템으로 운영이 되고 있는 상황이고요.,,,,,,,,,,,,,,,,,,,,,,
KRIBB,2. 국제협력의 유형 및 방식,인프라 활용 및 공유,저희가 확보한 소재에 대해서는 저희가 아주 기초적인 활성 연구 스크리닝은 다 해서 그 데이터들은 저희 협력 파트너들하고 같이 공유를 하고 있고요.,,,,,,,,,,,,,,,,,,,,,,
KRIBB,2. 국제협력의 유형 및 방식,인력 교류,"현지에 있는 연구자들을 저희 생명공학연구원으로 초청을 해서 단기 연수를 하는 경우도 있고, 학위 과정으로 들어가는 경우도 많지는 않지만 있고, 그래서 인력 교류 활동도 저희가 한 120여건, 현재까지 계속 진행을 해오고 있고요.",,,,,,,,,,,,,,,,,,,,,,
KRIBB,2. 국제협력의 유형 및 방식,인력 교류,"저희가 파견을 보내는 분은 저희 각 센터당 한분, 가장 오래되신 분은 한 지금 한 18년째 중국에 나가 계셔서",,,,,,,,,,,,,,,,,,,,,,
KRIBB,2. 국제협력의 유형 및 방식,MOU 및 기관 간 파트너십,"저희가 협력이라고 하면 국가와 국가 간에, 주로 정부 출연기관이라든지 국립대학교라든지 저희가 같이 할 수 있는 전문가들을 먼저 컨텍을 해서 그 분들하고 저희랑 공동 연구를 할 의향이 있는지를 다 타진을 한 다음에 국제 공동연구 협약서를 체결을 합니다.",,,,,,,,,,,,,,,,,,,,,,
KRIBB,2. 국제협력의 유형 및 방식,MOU 및 기관 간 파트너십,"저희 일본 이화학 연구소하고, RIKEN 이라고 하죠. 화학 생물 공동 연구 센터를 2010년도, 저희 그때 교육과학기술부 때요. 이제 해외 우수 연구기관 유치 사업이라는 게 그때 한 6년짜리 좀 사업이 있었습니다.",,,,,,,,,,,,,,,,,,,,,,
KRIBB,2. 국제협력의 유형 및 방식,기술이전 및 라이선싱,"거기서 발생하는 어떤 형태의 지적 재산권이라든지 도감이 됐든 논문, 특허, 기술이전, 어떤 형태의 지재권도 다 파트너 국가들하고 셰어링하는 그런 형태로 사업이 진행이 되고 있습니다.",,,,,,,,,,,,,,,,,,,,,,
KRIBB,3. 기관별 특성 및 협력 환경,기관 임무 기반 협력,"저희 사업은 해외 생물, 초기 사업명이 해외 생물 소재 확보 및 활용 사업이었습니다.",,,,,,,,,,,,,,,,,,,,,,
KRIBB,3. 기관별 특성 및 협력 환경,기관 임무 기반 협력,"기본적으로 저희는 자원이 풍부하지만 과학기술력이나 경제력이 아무래도 저희보다는 조금 떨어지는 국가들을 우선적으로, 주로 열대·아열대 지역에 자원들이 많기 때문에 그쪽에 있는 국가들과 현재까지 저희가 한 39개국, 정확하게 하면 한 40개국 정도 국가들과의 협력을 해 왔고요.",,,,,,,,,,,,,,,,,,,,,,
KRIBB,3. 기관별 특성 및 협력 환경,기관 임무 기반 협력,"저희 추출물 은행에 뱅킹을 해놓고, 국내에 있는 연구자들이 아마존이든 아프리카든 전 해외에 있는 어떤 식물 자원에 대한 연구를 하고 싶다라고 하면 온라인으로 분양을 해서 저희가 보내드리는 그런 국가 인프라 시스템으로 운영이 되고 있는 상황이고요.",,,,,,,,,,,,,,,,,,,,,,
KRIBB,3. 기관별 특성 및 협력 환경,정부 부처와의 관계,준비하는 과정에서 그 KOICA 하고 조율하기가 쉽지 않았던 것 같고요.,,,,,,,,,,,,,,,,,,,,,,
KRIBB,3. 기관별 특성 및 협력 환경,정부 부처와의 관계,과학기술정보통신부 그거였죠. 근데 수요가 많지는 않습니다.,,,,,,,,,,,,,,,,,,,,,,
KRIBB,3. 기관별 특성 및 협력 환경,정부 부처와의 관계,저희가 이제 글로벌 탑 전략 연구단이라는 걸 NST 에서 발주를 작년하고 올해 했지 않습니까?,,,,,,,,,,,,,,,,,,,,,,
KRIBB,3. 기관별 특성 및 협력 환경,내부 추진 체계,저희가 또 국제협력 전담 부서가 있는데,,,,,,,,,,,,,,,,,,,,,,
KRIBB,3. 기관별 특성 및 협력 환경,내부 추진 체계,홍보 협력실이라고 하는 그런 조직이 있었는데 거기서는 어떻게 보면 좀 부동산 같은 역할입니다.,,,,,,,,,,,,,,,,,,,,,,
KRIBB,3. 기관별 특성 및 협력 환경,내부 추진 체계,좀 이렇게 수요자와 공급자 간에 이제 좀 연결을 해 주고 그런 지원 부서지 무엇을 이제 전략을 세워서 이렇게 나간다는 거는 그런 역할은 아니었어요.,,,,,,,,,,,,,,,,,,,,,,
KRIBB,3. 기관별 특성 및 협력 환경,내부 추진 체계,기관 내에 국제 협력 DB 같은 게 따로 있지는 않은,,,,,,,,,,,,,,,,,,,,,,
KRIBB,3. 기관별 특성 및 협력 환경,연구 분야의 특성,"저희 기관에서는 약간 투 트랙으로 보면은 이게 어떻게 하다 보니 그렇게 됐습니다만 적도 이하는 이제 생물 자원 협력이고요, 적도 위는 이제 기술 협력 그렇게 봤는데, 주로 국제 공동 연구를 하는 곳은 좀 어떻게 보면은 좀 선도 국가들, 북미·유럽 지역들이 있는데",,,,,,,,,,,,,,,,,,,,,,
KRIBB,3. 기관별 특성 및 협력 환경,연구 분야의 특성,저희가 하는 거는 기초는 아니고 기초와 이제 사업화의 중간에 있는 응용 단계라고 이제 보시는 게 가장,,,,,,,,,,,,,,,,,,,,,,
KRIBB,3. 기관별 특성 및 협력 환경,연구 분야의 특성,사업화의 직전 단계니까 그런 분쟁이 없지 않아 있습니다.,,,,,,,,,,,,,,,,,,,,,,
KRIBB,4. 국제협력의 주요 애로사항 및 장애물,정책의 비일관성 및 불안정성,"왜냐하면 또 이제 상대국이 일본이다 보니까 어떤 정부에 따라서는 일본과 사이가 틀어졌을 때 좀 지원받기가 어렵다든가 중간에 뭐 그런 것도 있었고, 현재도 뭐 좀 모르긴 모르겠습니다.",,,,,,,,,,,,,,,,,,,,,,
KRIBB,4. 국제협력의 주요 애로사항 및 장애물,단기·성과 위주 정책,"당시에 어떤 기관들은 이제 뭔가를 만들어야 하는데, 뭔가 네트워킹 협력 상대를 찾기가 어려워서 옛날에 무슨 학회에서 만났었던 명함 찾아가지고 연락해서 우리랑 뭐 이거 할래 이런 식으로 한 기관도 있었다고 하더라고요.",,,,,,,,,,,,,,,,,,,,,,
KRIBB,4. 국제협력의 주요 애로사항 및 장애물,단기·성과 위주 정책,"워낙 급박하게 돌아가고, 자료를 올려라 이렇게 수요를 제출해라 이랬다고 들어서.",,,,,,,,,,,,,,,,,,,,,,
KRIBB,4. 국제협력의 주요 애로사항 및 장애물,예산 문제,저희 전체 예산 2천 억원에서 10억이면 한 0.5% 정도라고 보시면 돼요.,,,,,,,,,,,,,,,,,,,,,,
KRIBB,4. 국제협력의 주요 애로사항 및 장애물,예산 문제,특히 주요 사업은 이제 출연금이 재원인데 그게 갑자기 한 20% 정도 깎이니까.,,,,,,,,,,,,,,,,,,,,,,
KRIBB,4. 국제협력의 주요 애로사항 및 장애물,예산 문제,"저희 아무튼 이 예산 때문에 사실은 다른 부서도 다 힘들겠지만 저희 부서는 전체 예산에서 들어가는 고정비들이 꽤 비중이 크거든요. 해외에 나가 계신 해외 4개 센터가 해외에 있고 이제 그분들이 파견 나가서 계시는 데 들어가야 될 비용들을 줄일 수, 예산이 20% 깎인다고 해서 그 비용을 줄일 수도 없고",,,,,,,,,,,,,,,,,,,,,,
KRIBB,4. 국제협력의 주요 애로사항 및 장애물,예산 문제,돈이 없으면은 일하기가 쉽지 않습니다.,,,,,,,,,,,,,,,,,,,,,,
KRIBB,4. 국제협력의 주요 애로사항 및 장애물,예산 문제,"돈을 주긴 줘요. 주긴 주는데 정말 한 많아야 3천만 원. 초기 이렇게 교류하라고 돈을 주는 거죠. 그 이후에는 ""기관별로 알아서 하시오"". 이제 그게 좀 현실",,,,,,,,,,,,,,,,,,,,,,
KRIBB,4. 국제협력의 주요 애로사항 및 장애물,행정·제도적 한계,합법적으로 그 소재를 확보를 하기 위해서는 이제 돈을 주고 그런 살 수 있는 그런 연구 소재들 말고 본인이 연구하고 싶어서 그쪽 나라에 있는 소재를 가지고 오겠다라고 하면 적법한 절차를 거쳐야 되고 그 행정적인 프로세스가 꽤 복잡합니다.,,,,,,,,,,,,,,,,,,,,,,
KRIBB,4. 국제협력의 주요 애로사항 및 장애물,행정·제도적 한계,"가장 큰 애로사항으로는 국제 협력에 사실 여러 주신 자료에도 나와 있지만 공동 연구형, 인력 교류형, 사실 공동 연구를 하면 인력 교류도 따라가고 다 좀 포괄적으로 하는 거긴 합니다만 가장 어려웠던 거는 수요를 이끌어내기가 좀 어렵다.",,,,,,,,,,,,,,,,,,,,,,
KRIBB,4. 국제협력의 주요 애로사항 및 장애물,연구자 차원의 어려움,왜냐하면은 뭐 좀 간단하게 말씀드리면 골치 아프지 않습니까? 골치 아프죠.,,,,,,,,,,,,,,,,,,,,,,
KRIBB,4. 국제협력의 주요 애로사항 및 장애물,연구자 차원의 어려움,지재권이 지금 미국 측에서는 우리 사람과 우리 장비를 썼던 거에 대해서는 우리가 다 갖겠다. 그걸 처음부터 감안을 하지 않은 건 아니었는데 정말 끝나고 보니까 별로 정말 남는 게 없더라고요.,,,,,,,,,,,,,,,,,,,,,,
KRIBB,4. 국제협력의 주요 애로사항 및 장애물,연구자 차원의 어려움,현지에 계신 분들 입장에서는 크게 만족스럽지 않으실 수도 있죠.,,,,,,,,,,,,,,,,,,,,,,
KRIBB,4. 국제협력의 주요 애로사항 및 장애물,연구자 차원의 어려움,중남미 근무하시던 분들이 사표를 많이 써요.,,,,,,,,,,,,,,,,,,,,,,
KRIBB,5. 정책 제언 및 발전 방향,장기적·안정적 정책 추진,근데 이제 역시 관건은 후속 지원과 후속 과제 수주가 필요하다.,,,,,,,,,,,,,,,,,,,,,,
KRIBB,5. 정책 제언 및 발전 방향,장기적·안정적 정책 추진,2차 년도부터 이제 본격적으로 중장기 로드맵을 세워가지고 그렇게 협력을 진행을 하고 있습니다.,,,,,,,,,,,,,,,,,,,,,,
KRIBB,5. 정책 제언 및 발전 방향,범부처 컨트롤타워 구축,저는 말씀하신 대로 그런 약간 좀 top-down 그런 것도 가끔은 활용하는 게 좋다고 생각합니다. 왜냐면은 나라 간의 약속이니까 명분도 생기거든요.,,,,,,,,,,,,,,,,,,,,,,
KRIBB,5. 정책 제언 및 발전 방향,연구 현장 중심의 지원 강화,"그런 부분은 기관별로 조금 자기한테 일종의 인센티브를 주든, 그래서 본인이 가지고 있는 인적 네트워크들에 대한 정보들을 좀 공유를 하고 다른 분들이 혹시나 어떤 분야가 됐든 기관이 됐든 대학이 됐든 그쪽하고 협력을 하고 싶다고 하면 그분한테 좀 도움을 받아서 좀 다리를 놔 주십사라고 하는 것도 좀 좋은 방법이 아닐까하는",,,,,,,,,,,,,,,,,,,,,,
KRIBB,5. 정책 제언 및 발전 방향,전략적 파트너십 및 분야 선택,"기본적으로 저희는 자원이 풍부하지만 과학기술력이나 경제력이 아무래도 저희보다는 조금 떨어지는 국가들을 우선적으로, 주로 열대·아열대 지역에 자원들이 많기 때문에 그쪽에 있는 국가들과 현재까지 저희가 한 39개국, 정확하게 하면 한 40개국 정도 국가들과의 협력을 해 왔고요.",,,,,,,,,,,,,,,,,,,,,,
